State,District,Pincode,Year,Quater,Ins_dist_count,Ins_dist_amount,Ins_pincode_count,Ins_pincode_amount
jammu-&-kashmir,jammu,182101,2022,3,1674,2443103.0,159,194704.0
jammu-&-kashmir,jammu,182101,2022,4,1879,3260604.0,190,380455.0
jammu-&-kashmir,jammu,180001,2023,1,1657,3092481.0,127,176240.0
jammu-&-kashmir,jammu,182101,2023,2,1710,3178077.0,161,317428.0
jammu-&-kashmir,jammu,182101,2023,3,1802,2956782.0,195,277567.0
jammu-&-kashmir,jammu,182101,2023,4,2185,4418006.0,252,474854.0
jharkhand,dhanbad,826124,2020,2,741,134652.0,307,51877.0
jharkhand,dhanbad,826124,2020,3,1459,365170.0,378,89931.0
jharkhand,ranchi,834001,2020,4,670,559639.0,176,143529.0
jharkhand,ranchi,834001,2021,1,1026,734770.0,303,183419.0
jharkhand,ranchi,834001,2021,2,1116,1206771.0,254,239419.0
jharkhand,ranchi,834001,2021,3,1484,1611727.0,400,332493.0
jharkhand,ranchi,834001,2021,4,2151,2693792.0,608,614197.0
jharkhand,ranchi,834001,2022,1,2342,3350440.0,622,804617.0
jharkhand,ranchi,834001,2022,2,2225,3046609.0,641,681631.0
jharkhand,ranchi,834001,2022,3,3281,4087473.0,952,1088439.0
jharkhand,ranchi,834001,2022,4,3465,4954150.0,901,1096797.0
jharkhand,east singhbhum,834001,2023,1,3445,4138971.0,853,1139933.0
jharkhand,east singhbhum,834001,2023,2,4220,4665989.0,957,1221293.0
jharkhand,ranchi,834001,2023,3,4543,5962408.0,1290,1541368.0
jharkhand,ranchi,834001,2023,4,4651,7441219.0,1142,1641382.0
karnataka,bengaluru urban,560068,2020,2,20040,3301769.0,1076,168415.0
karnataka,bengaluru urban,560068,2020,3,32192,6940765.0,1603,340876.0
karnataka,bengaluru urban,560068,2020,4,18485,15922383.0,849,653177.0
karnataka,bengaluru urban,560068,2021,1,21606,17636524.0,870,614123.0
karnataka,bengaluru urban,560068,2021,2,21918,19572756.0,982,719927.0
karnataka,bengaluru urban,560068,2021,3,27498,26210017.0,1126,984821.0
karnataka,bengaluru urban,560068,2021,4,44650,50064816.0,1839,1905289.0
karnataka,bengaluru urban,560068,2022,1,57549,71700148.0,2349,2922542.0
karnataka,bengaluru urban,560068,2022,2,57934,69731242.0,2692,3077564.0
karnataka,bengaluru urban,560068,2022,3,64593,79303480.0,2861,3528404.0
karnataka,bengaluru urban,560068,2022,4,78817,101938016.0,3419,4310528.0
karnataka,bengaluru urban,560068,2023,1,75238,103829030.0,3214,4091377.0
karnataka,bengaluru urban,560068,2023,2,69812,99096628.0,3141,3959944.0
karnataka,bengaluru urban,560068,2023,3,81520,109497225.0,3688,4646310.0
karnataka,bengaluru urban,560068,2023,4,88349,133137089.0,3947,5606578.0
kerala,ernakulam,682042,2020,2,418,93852.0,23,4677.0
kerala,ernakulam,682024,2020,3,2380,725788.0,85,26200.0
kerala,ernakulam,682020,2020,4,1310,892676.0,60,33576.0
kerala,ernakulam,673508,2021,1,1252,1016580.0,81,79723.0
kerala,ernakulam,682025,2021,2,1939,1728254.0,75,41233.0
kerala,ernakulam,682042,2021,3,2041,2178118.0,89,61579.0
kerala,ernakulam,695001,2021,4,3397,4987028.0,147,206230.0
kerala,ernakulam,682042,2022,1,6248,10184076.0,233,334805.0
kerala,ernakulam,682042,2022,2,6138,9888302.0,233,282204.0
kerala,ernakulam,695001,2022,3,9029,13521423.0,410,492523.0
kerala,ernakulam,682042,2022,4,11176,16851440.0,447,617334.0
kerala,ernakulam,682042,2023,1,11073,17476806.0,475,678883.0
kerala,ernakulam,682042,2023,2,10598,16600162.0,474,632011.0
kerala,ernakulam,682042,2023,3,12004,19154183.0,563,741388.0
