State,District,Year,Quater,Insurance_count,Insurance_amount
arunachal-pradesh,anjaw district,2023,1,1,1257.0
arunachal-pradesh,siang district,2023,1,6,22077.0
arunachal-pradesh,lower siang district,2023,1,11,24273.0
arunachal-pradesh,kra daadi district,2023,1,1,56.0
arunachal-pradesh,changlang district,2023,1,58,150506.0
arunachal-pradesh,pakke kessang district,2023,1,1,323.0
arunachal-pradesh,west kameng district,2023,1,58,148766.0
arunachal-pradesh,shi yomi district,2023,1,2,7170.0
arunachal-pradesh,east siang district,2023,1,45,131785.0
arunachal-pradesh,upper subansiri district,2023,1,9,15828.0
arunachal-pradesh,east kameng district,2023,1,12,38909.0
arunachal-pradesh,lohit district,2023,1,22,48743.0
arunachal-pradesh,lepa rada district,2023,1,2,1470.0
