State,District,Year,Quater,Transaction_count,Transaction_amount
andhra-pradesh,west godavari district,2022,2,44409239,107973244960.42824
andhra-pradesh,kurnool district,2022,2,40165692,92409350855.50198
andhra-pradesh,chittoor district,2022,2,67507661,136435445124.75616
andhra-pradesh,guntur district,2022,2,66315749,147098141568.7623
andhra-pradesh,krishna district,2022,2,73525814,163997729295.93134
andhra-pradesh,east godavari district,2022,3,61467134,129677722169.74829
andhra-pradesh,srikakulam district,2022,3,22126541,46899962921.785614
andhra-pradesh,spsr nellore district,2022,3,42116582,95099325968.25972
andhra-pradesh,vizianagaram district,2022,3,20440645,42513313394.84207
andhra-pradesh,visakhapatnam district,2022,3,97434546,181124419863.61444
andhra-pradesh,prakasam district,2022,3,35376080,87475230073.46387
andhra-pradesh,anantapur district,2022,3,45165363,97735649608.10074
andhra-pradesh,ysr district,2022,3,33119038,86016932181.12372
andhra-pradesh,west godavari district,2022,3,43635951,101706854744.31876
andhra-pradesh,kurnool district,2022,3,39557913,88415335176.31995
andhra-pradesh,chittoor district,2022,3,65751781,133053581631.6395
andhra-pradesh,guntur district,2022,3,65612317,141588522953.23773
andhra-pradesh,krishna district,2022,3,71051144,153770559025.69125
andhra-pradesh,east godavari district,2022,4,68016055,136531110139.86256
andhra-pradesh,srikakulam district,2022,4,23693779,47726411107.88628
andhra-pradesh,spsr nellore district,2022,4,42582064,92085916180.6851
andhra-pradesh,vizianagaram district,2022,4,22205190,44467386404.34758
andhra-pradesh,visakhapatnam district,2022,4,103790055,185306149744.73108
andhra-pradesh,prakasam district,2022,4,37211077,88105031866.36835
andhra-pradesh,anantapur district,2022,4,48299601,101533878537.23433
andhra-pradesh,ysr district,2022,4,35201596,87360426792.81667
andhra-pradesh,west godavari district,2022,4,47919930,105335724990.59325
andhra-pradesh,kurnool district,2022,4,43524766,94667441029.08345
andhra-pradesh,chittoor district,2022,4,70322534,136840859888.18155
andhra-pradesh,guntur district,2022,4,70723763,146938735166.52365
andhra-pradesh,krishna district,2022,4,76526667,157826011193.35443
andhra-pradesh,east godavari district,2023,1,115196449,223454724672.0
andhra-pradesh,srikakulam district,2023,1,42209999,86486032409.0
andhra-pradesh,spsr nellore district,2023,1,71318689,143967164643.0
andhra-pradesh,vizianagaram district,2023,1,38838861,76472384525.0
andhra-pradesh,visakhapatnam district,2023,1,164358781,277211090180.0
andhra-pradesh,prakasam district,2023,1,63671149,141672839638.0
andhra-pradesh,anantapur district,2023,1,82127373,162287796625.0
andhra-pradesh,ysr district,2023,1,59768512,140117633668.0
andhra-pradesh,west godavari district,2023,1,79094558,165941144654.0
andhra-pradesh,kurnool district,2023,1,72405172,149100361797.0
andhra-pradesh,chittoor district,2023,1,120192355,218037027226.0
andhra-pradesh,guntur district,2023,1,114246185,226244225817.0
andhra-pradesh,krishna district,2023,1,122104381,238058890676.0
andhra-pradesh,east godavari district,2023,2,131243375,245134717109.0
andhra-pradesh,srikakulam district,2023,2,47633204,93082175904.0
andhra-pradesh,spsr nellore district,2023,2,82056071,165181391414.0
andhra-pradesh,vizianagaram district,2023,2,43625851,82671020353.0
andhra-pradesh,visakhapatnam district,2023,2,184918179,303874597259.0
andhra-pradesh,prakasam district,2023,2,73598725,158428689659.0
andhra-pradesh,anantapur district,2023,2,91695174,180050369328.0
andhra-pradesh,ysr district,2023,2,66809788,156231915019.0
andhra-pradesh,west godavari district,2023,2,92533269,187699526244.0
andhra-pradesh,kurnool district,2023,2,81475907,166991990104.0
andhra-pradesh,chittoor district,2023,2,136283483,245550525910.0
andhra-pradesh,guntur district,2023,2,132035450,254140764680.0
andhra-pradesh,krishna district,2023,2,141748488,267001403933.0
andhra-pradesh,east godavari district,2023,3,148701666,260414286361.0
andhra-pradesh,srikakulam district,2023,3,51382393,91818203167.0
andhra-pradesh,spsr nellore district,2023,3,93875073,176593750929.0
andhra-pradesh,vizianagaram district,2023,3,47856766,83289704541.0
andhra-pradesh,visakhapatnam district,2023,3,209884966,328927220951.0
andhra-pradesh,prakasam district,2023,3,84447202,171207298619.0
andhra-pradesh,anantapur district,2023,3,104539628,192477441164.0
andhra-pradesh,ysr district,2023,3,76091693,168218516193.0
andhra-pradesh,west godavari district,2023,3,102962058,191891823401.0
andhra-pradesh,kurnool district,2023,3,92890445,172979053545.0
andhra-pradesh,chittoor district,2023,3,152863845,265404757144.0
andhra-pradesh,guntur district,2023,3,150246761,270651818044.0
andhra-pradesh,krishna district,2023,3,159421907,279540224039.0
andhra-pradesh,east godavari district,2023,4,162793144,282329255747.0
andhra-pradesh,srikakulam district,2023,4,56291337,97021746702.0
andhra-pradesh,spsr nellore district,2023,4,97721962,179306028468.0
andhra-pradesh,vizianagaram district,2023,4,53248760,90289502507.0
andhra-pradesh,visakhapatnam district,2023,4,223584765,344512874812.0
andhra-pradesh,prakasam district,2023,4,89721677,174929737360.0
andhra-pradesh,anantapur district,2023,4,113698752,203367177888.0
andhra-pradesh,ysr district,2023,4,83729195,176644897379.0
andhra-pradesh,west godavari district,2023,4,114825704,209237892746.0
andhra-pradesh,kurnool district,2023,4,103816175,190597527675.0
andhra-pradesh,chittoor district,2023,4,163521593,274132458092.0
andhra-pradesh,guntur district,2023,4,160724947,281806839570.0
andhra-pradesh,krishna district,2023,4,173309415,298339038877.0
arunachal-pradesh,lower dibang valley district,2018,1,1356,1076236.814073793
arunachal-pradesh,lower subansiri district,2018,1,1477,3650727.893614269
arunachal-pradesh,longding district,2018,1,2321,4361531.578447229
arunachal-pradesh,west siang district,2018,1,1887,4796675.565399804
arunachal-pradesh,kamle district,2018,1,14,7971.330494807651
arunachal-pradesh,upper siang district,2018,1,126,186610.66988095018
arunachal-pradesh,tirap district,2018,1,945,1064265.0002443574
arunachal-pradesh,papum pare district,2018,1,14224,32555848.462331478
arunachal-pradesh,kurung kumey district,2018,1,84,99416.58027150274
arunachal-pradesh,siang district,2018,1,252,339471.80434222345
arunachal-pradesh,lower siang district,2018,1,1292,2337960.7148240386
arunachal-pradesh,kra daadi district,2018,1,207,495375.1454853307
arunachal-pradesh,changlang district,2018,1,3195,5380749.415278763
arunachal-pradesh,pakke kessang district,2018,1,9,9131.404205737199
arunachal-pradesh,dibang valley district,2018,1,2,169.88856537681642
arunachal-pradesh,west kameng district,2018,1,5787,9540632.547015157
arunachal-pradesh,east siang district,2018,1,3286,5533620.186295529
arunachal-pradesh,upper subansiri district,2018,1,735,1358367.5018580484
arunachal-pradesh,east kameng district,2018,1,529,473824.76595106337
arunachal-pradesh,lohit district,2018,1,3747,11496949.54576835
arunachal-pradesh,lepa rada district,2018,1,288,403149.46702687367
arunachal-pradesh,tawang district,2018,1,2334,5055665.022950603
arunachal-pradesh,namsai district,2018,1,1400,2162984.705083958
arunachal-pradesh,lower dibang valley district,2018,2,1827,2561237.506207262
arunachal-pradesh,lower subansiri district,2018,2,1666,4113742.04406352
arunachal-pradesh,longding district,2018,2,4634,10271170.165521314
arunachal-pradesh,west siang district,2018,2,2579,7610989.567485569
arunachal-pradesh,kamle district,2018,2,12,23654.058373191845
arunachal-pradesh,upper siang district,2018,2,240,494895.09277159756
arunachal-pradesh,tirap district,2018,2,1903,3126393.7649546335
arunachal-pradesh,papum pare district,2018,2,25363,66520931.20355793
arunachal-pradesh,kurung kumey district,2018,2,83,123737.2220411206
arunachal-pradesh,anjaw district,2018,2,7,7871.020814692305
arunachal-pradesh,siang district,2018,2,336,740232.6309634304
arunachal-pradesh,lower siang district,2018,2,2292,2179451.657976534
arunachal-pradesh,kra daadi district,2018,2,247,987135.9959717204
