State,District,Pincode,Year,Quater,Trans_dist_count,Trans_dist_amount,Trans_pincode_count,Trans_pincode_amount
goa,north goa,403001,2022,3,8310698,13076925808.314318,1365759,2544949835.9234076
goa,north goa,403516,2022,4,11455490,17268434371.99816,1982311,2953947926.863951
goa,north goa,403516,2023,1,16251833,24505420924.0,2885692,4345863492.0
goa,north goa,403516,2023,2,17849215,27042471683.0,3176461,4809307923.0
goa,north goa,403516,2023,3,17670660,25828843826.0,2526681,3745192683.0
goa,north goa,403516,2023,4,22361742,30910872042.0,3637689,5098851471.0
gujarat,ahmadabad,380018,2018,1,1436152,2153123692.102863,423426,548596428.2702155
gujarat,ahmadabad,380018,2018,2,1809774,3307127930.4397454,463754,758307877.4611406
gujarat,ahmadabad,380018,2018,3,2600288,4740981792.133425,573722,975939712.0372305
gujarat,ahmadabad,380018,2018,4,3990090,6515656157.237562,643919,1173940659.2927508
gujarat,ahmadabad,380018,2019,1,7894660,10956007756.562977,2317295,3602207468.4702206
gujarat,ahmadabad,380018,2019,2,11689965,19024891336.636116,6034737,10446888963.74205
gujarat,ahmadabad,380018,2019,3,14605589,23081622347.556786,5791776,11683489722.006363
gujarat,ahmadabad,380018,2019,4,15696056,29657904578.49414,5745525,13811436405.017286
gujarat,ahmadabad,380001,2020,1,17950876,35559467147.63747,8107941,19966510984.145233
gujarat,ahmadabad,380001,2020,2,16430916,32731896547.15033,8490730,21210698645.19712
gujarat,ahmadabad,380001,2020,3,21769867,43364229618.72334,9734185,23152428012.586617
gujarat,ahmadabad,380001,2020,4,25926518,50995692377.18628,9350995,21416748946.661865
gujarat,ahmadabad,380001,2021,1,36857358,68688129153.5751,18692590,35260703527.42645
gujarat,ahmadabad,380001,2021,2,44173046,79437951666.15146,24909165,44195604124.56421
gujarat,ahmadabad,380001,2021,3,58611265,101760598132.07089,31818742,53859258361.39296
gujarat,ahmadabad,380001,2021,4,70075885,124559345468.31935,37718845,64984430216.761955
gujarat,ahmadabad,380001,2022,1,79952986,140746136456.2987,43066167,73237978832.22348
gujarat,ahmadabad,380001,2022,2,96453555,161506106645.9494,52753664,84432798058.52104
gujarat,ahmadabad,380001,2022,3,117574996,184255244712.72235,69641063,102800764086.34274
gujarat,ahmadabad,380001,2022,4,133174553,212037117715.34888,82141571,124501769828.67831
gujarat,ahmadabad,394210,2023,1,88124113,144675922269.0,6021069,9260558233.0
gujarat,ahmadabad,394210,2023,2,100889578,156288216607.0,7013169,9925343391.0
gujarat,ahmadabad,394210,2023,3,116119081,173450994467.0,8051744,10548705641.0
gujarat,ahmadabad,394210,2023,4,125267617,190761203190.0,9486703,12352844218.0
haryana,gurugram,122006,2018,1,1408070,2317083393.896097,328965,497159951.36888236
haryana,gurugram,122006,2018,2,1893511,3604758914.7352195,371438,691480831.8004122
